dtxsid,measurement,observation,sample,sampleType,substanceName,unit,value
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233947110.AAWH.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233947110.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233947110.20230707>,SOIL,Perfluorobutanesulfonic acid,ng/L,0.076
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233947110.AAWH.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233947110.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233947110.20230707>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.076
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L225228904.AAWH.20220921.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL225228904.20220921.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL225228904.20220921>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.076
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233749703.AAWH.20230627.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233749703.20230627.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233749703.20230627>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.076
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233749301.AAWH.20230628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233749301.20230628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233749301.20230628>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.076
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L221989501.AAWH.20220415.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL221989501.20220415.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL221989501.20220415>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.076
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L225186601.AAWH.20220921.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL225186601.20220921.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL225186601.20220921>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.077
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L225868801.AAWH.20221019.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL225868801.20221019.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL225868801.20221019>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.077
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233947104.AAWH.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233947104.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233947104.20230707>,SOIL,Perfluorobutanesulfonic acid,ng/L,0.077
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233947104.AAWH.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233947104.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233947104.20230707>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.077
